element_type,xG_per_90,xA_per_90,bps_per_90,form,was_home,FDR,last_minutes_5_match,ict_index,Defensive_Contribution_per_90,xGC_per_90,Saves_per_90,total_points,xG_per_90_L5M,ict_index_per_90,Opponent_xGC_per_90,xG_match,xA_per_90_L5M,is_setpiece_taker,xA_match
2,0.0,0.0,20.7692,1.0,0,2,13.0,0.1,3.1154,0.9,0.0,1,0.0,0.6923,1.5,0.0,0.0,0,0.0
2,0.0,0.0429,12.8571,1.0,0,3,17.0,0.2,1.9286,0.6429,0.0,1,0.0,0.8571,1.5,0.0,0.0265,1,0.01
2,0.0,0.036,32.4,1.0,0,4,19.6667,0.3,4.86,0.396,0.0,1,0.0,1.08,1.5,0.0,0.0305,0,0.01
3,0.0,0.0,1080.0,4.0,1,3,1.0,0.4,108.0,0.0,0.0,4,0.0,36.0,1.5,0.0,0.0,0,0.0
3,0.313,0.0391,3.913,2.5,0,3,12.0,1.1,0.3913,0.5087,0.0,1,0.3,4.3043,1.5,0.08,0.0375,1,0.01
3,0.0,0.0,270.0,2.0,1,2,8.3333,0.1,27.0,0.0,0.0,1,0.288,9.0,1.5,0.0,0.036,0,0.0
3,0.1059,0.5824,58.2353,7.0,1,3,34.0,6.3,5.8235,0.6618,0.0,7,0.1059,16.6765,1.5,0.04,0.5824,0,0.22
3,0.0,0.0692,103.8462,5.5,1,3,23.5,3.4,10.3846,0.4154,0.0,4,0.0766,23.5385,1.5,0.0,0.4404,0,0.01
3,0.4215,0.0684,6.8354,4.6667,0,4,42.0,3.7,0.6835,0.2278,0.0,3,0.2929,4.2152,1.5,0.37,0.2071,1,0.06
3,0.0,0.0,0.0,2.6667,1,4,42.75,0.5,0.0,1.8,0.0,1,0.2158,1.0,1.5,0.0,0.1526,0,0.0
3,0.0,0.1929,12.8571,1.6667,0,2,37.0,2.0,1.2857,0.0,0.0,1,0.1995,12.8571,1.5,0.0,0.1557,0,0.03
3,4.1824,0.1059,116.4706,2.6667,1,3,33.6,5.8,11.6471,0.0,0.0,6,0.6214,30.7059,1.5,0.79,0.0643,0,0.02
3,0.0,0.0818,16.3636,2.6667,0,2,33.2,0.2,1.6364,0.0,0.0,1,0.6289,1.6364,1.5,0.0,0.0651,0,0.01
3,0.0,0.0,-27.3913,1.6667,1,2,22.0,0.0,-2.7391,0.2739,0.0,-2,0.6464,0.0,1.5,0.0,0.0491,0,0.0
3,0.0,0.46,6.0,0.0,0,3,22.0,1.9,0.6,0.4,0.0,1,0.6464,3.8,1.5,0.0,0.2373,1,0.23
3,0.0,0.9,180.0,0.0,0,2,19.4,0.0,18.0,13.5,0.0,1,0.733,0.0,1.5,0.0,0.2505,1,0.01
